,category,sub_category,headline,headline_url
0,india,,is dollar really the worlds biggest financial terrorist,https://timesofindia.indiatimes.com/india/is-dollar-really-the-worlds-biggest-financial-terrorist/articleshow/99888503.cms
1,india,,karnataka election 2023 live updates bjp congress jds candidates list ex cm jagadish shettar basavaraj bommai siddaramaiah nominations may 2,https://timesofindia.indiatimes.com/india/karnataka-election-2023-live-updates-bjp-congress-jds-candidates-list-ex-cm-jagadish-shettar-basavaraj-bommai-siddaramaiah-nominations-may-2/liveblog/99919128.cms
2,city,allahabad,nature has way of settling scores says up cm yogi adityanath on atiq ahmads turf,https://timesofindia.indiatimes.com/city/allahabad/nature-has-way-of-settling-scores-says-up-cm-yogi-adityanath-on-atiq-ahmads-turf/articleshow/99934245.cms
3,india,,cash strapped gofirst suspends may 3 4 flights files emergency plea for engines against pratt,https://timesofindia.indiatimes.com/india/cash-strapped-gofirst-suspends-may-3-4-flights-files-emergency-plea-for-engines-against-pratt/articleshow/99932958.cms
4,life-style,health-fitness,one third of stroke survivors develop dementia within five years identifying signs quickly can help minimize brain damage,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/one-third-of-stroke-survivors-develop-dementia-within-five-years-identifying-signs-quickly-can-help-minimize-brain-damage/photostory/99932932.cms
5,sports,cricket,not a fact not the truth virat kohli says night after fight with gautam gambhir,https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/not-a-fact-not-the-truth-virat-kohli-says-night-after-fight-with-gautam-gambhir/articleshow/99924626.cms
6,elections,assembly-elections,youll see post 2014 trend play out in karnataka bjp will form government again amit shah,https://timesofindia.indiatimes.com/elections/assembly-elections/karnataka/news/youll-see-post-2014-trend-play-out-in-karnataka-bjp-will-form-government-again-amit-shah/articleshow/99919602.cms
7,videos,toi-original,residents homeless as houses of thousands of labourers demolished in delhis tughlaqabad,https://timesofindia.indiatimes.com/videos/toi-original/residents-homeless-as-houses-of-thousands-of-labourers-demolished-in-delhis-tughlaqabad/videoshow/99930203.cms
8,tv,news,times when shailesh lodha took a dig at taarak mehtas producer asit kumarr modi for his dishonesty and pride,https://timesofindia.indiatimes.com/tv/news/hindi/times-when-shailesh-lodha-took-a-dig-at-taarak-mehtas-producer-asit-kumarr-modi-for-his-dishonesty-and-pride/photostory/99931633.cms
9,sports,cricket,ipl 2023 virat kohli gautam gambhir ugly face off,https://timesofindia.indiatimes.com/sports/cricket/ipl/web-stories/ipl-2023-virat-kohli-gautam-gambhir-ugly-face-off/photostory/99928921.cms
10,etimes,trending,all you need to know about king charles iii coronation ceremony,https://timesofindia.indiatimes.com/etimes/trending/all-you-need-to-know-about-king-charles-iii-coronation-ceremony/articleshow/99930205.cms
11,auto,web-stories,13 most iconic fast and furious cars since 2001 toyota supra mk4 to lykan hypersport,https://timesofindia.indiatimes.com/auto/web-stories/13-most-iconic-fast-and-furious-cars-since-2001-toyota-supra-mk4-to-lykan-hypersport/photostory/99931879.cms
12,city,nagpur,to bail out bro goon goes on chain snatching spree,https://timesofindia.indiatimes.com/city/nagpur/to-bail-out-bro-goon-goes-on-chain-snatching-spree/articleshow/99898461.cms
13,city,nagpur,phone locked youths suicide still a mystery,https://timesofindia.indiatimes.com/city/nagpur/phone-locked-youths-suicide-still-a-mystery/articleshow/99898457.cms
14,city,nagpur,cong dominates apmc polls instances of strange bedfellows in some pockets,https://timesofindia.indiatimes.com/city/nagpur/cong-dominates-apmc-polls-instances-of-strange-bedfellows-in-some-pockets/articleshow/99898455.cms
